 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
   156   156    23   0.000E+00   0.000E+00   2.333E-02   3.616E-01
   156    22    23   7.144E-01   9.454E-01   2.333E-02   3.616E-01
    22    27    23   2.373E-01   3.205E-01   2.333E-02   3.760E-01
    22   156    23   5.000E-01   6.621E-01   2.333E-02   3.760E-01
    22    22    23   0.000E+00   0.000E+00   2.333E-02   3.760E-01
    21    21    24   0.000E+00   0.000E+00   8.158E-02   1.142E+00
    21   117    24   2.794E-01   3.014E-01   8.158E-02   1.142E+00
    21    29    24   6.481E-01   6.934E-01   8.158E-02   1.142E+00
   117    21    24   8.579E-01   9.259E-01   8.158E-02   1.208E+00
   117   117    24   0.000E+00   0.000E+00   8.158E-02   1.208E+00
   117    29    24   5.215E-02   6.804E-02   8.158E-02   1.208E+00
    29    21    24   9.009E-01   9.640E-01   8.158E-02   1.194E+00
    29   117    24   2.361E-02   3.080E-02   8.158E-02   1.194E+00
    29    29    24   0.000E+00   0.000E+00   8.158E-02   1.194E+00
  3950  3950    25   0.000E+00   0.000E+00   7.475E+01   4.745E+02
  3950  3835    25   4.998E-01   5.000E-01   7.475E+01   4.745E+02
  3950  3836    25   4.998E-01   5.000E-01   7.475E+01   4.745E+02
  3835  3950    25   7.098E-01   7.101E-01   7.475E+01   4.723E+02
  3835  3835    25   0.000E+00   0.000E+00   7.475E+01   4.723E+02
  3835  3836    25   2.897E-01   2.899E-01   7.475E+01   4.723E+02
  3836  3950    25   7.098E-01   7.101E-01   7.475E+01   5.128E+02
  3836  3835    25   2.897E-01   2.899E-01   7.475E+01   5.128E+02
  3836  3836    25   0.000E+00   0.000E+00   7.475E+01   5.128E+02
  3335  3335    26   0.000E+00   0.000E+00   6.339E-02   9.633E-01
  3335    27    26   4.601E-02   6.586E-02   6.339E-02   9.633E-01
  3335    61    26   8.338E-01   9.261E-01   6.339E-02   9.633E-01
    27  3335    26   2.436E-02   3.487E-02   6.339E-02   9.698E-01
    27    27    26   0.000E+00   0.000E+00   6.339E-02   9.698E-01
    27    61    26   8.707E-01   9.582E-01   6.339E-02   9.698E-01
    61  3335    26   3.027E-01   3.363E-01   6.339E-02   1.011E+00
    61    27    26   5.971E-01   6.574E-01   6.339E-02   1.011E+00
    61    61    26   0.000E+00   0.000E+00   6.339E-02   1.011E+00
    29    29    27   0.000E+00   0.000E+00   4.548E-02   6.720E-01
    29    23    27   2.876E-01   3.297E-01   4.548E-02   6.720E-01
